nombre,apellido,32,3423446,usuarios,secret,usr-jX28X9oth
nuebarde,apellidardo,32,3234532,pruebasa,contrasa,adm-i9C54WiQa
bruno,fernandez,32,3243235,nyanzu,contas,usr-BwdHej7mU
Juan ,Smith,32,3423532,jc,nonuse,usr-tHQIGhBCw
Jorge,Garcia,23,3432452,jorh,nochot,usr-MvGHkkXTA
John,Smith,25,89032489,johns,contra,usr-Ep6faRkfX
administrados,appel,32,34789742,administrador,pass,adm-rTceAAHne
john,cena,23,32453234,admini,lehrer,adm-DOJ7qH3vi
Brun,Fern,44,435323542,brn,mittel,usr-3cmKLOML3
jose,salazar,55,34234523,nombri,verbindung,adm-fhzNwZcew
